X,Y
171.05377085417513,482.58081780264786
171.00563803563142,478.47064140425204
172.75731907120488,474.48776027110233
174.51039005428933,470.4977448450519
174.95199182977328,465.74836212377267
173.15022774539278,462.08724443561266
170.17429742492533,459.3713112937403
166.50296565953963,457.33571183284187
162.61886587853115,455.4751035381315
158.39538261324822,453.96525122770106
154.05625839707494,452.542254788499
149.52998807121233,451.30494681115687
145.15760206431386,449.88582547397607
140.81408216669584,448.46931498438016
136.3401760930926,447.1380687540723
132.43918459355856,445.1844910707078
131.15986599514468,441.8181665633474
134.68166940250705,439.5073325051095
138.57149013281096,437.6402950004583
142.70072174699305,435.94027255981064
146.91504229057423,434.41384822878763
151.10727740570744,432.8010413288283
155.21602062109577,431.2085593954323
158.81353343034812,429.0484349118964
162.23681608816264,426.7843805638385
165.1335128128014,423.94256719762683
167.48544109063306,420.6512400168193
169.2976696845738,416.68994180204584
170.9815601084657,412.583493766675
173.55644009436733,409.26882974539035
177.3425296223457,407.08265599135984
181.90455064548442,405.8227477585723
187.0454770028215,405.08737377327424
192.05226808203696,404.3694057862665
197.6534316099734,404.1014353063732
203.40865293023234,404.09275533372903
208.60056174833034,403.6340428560118
213.97456989197266,403.10992126107027
219.74313725490197,403.1
225.51389735137255,403.09937941275757
230.99360837886937,402.90768438790286
236.0923494459093,402.1632953110911
241.83334202692947,402.1000439874919
247.58589522353378,402.09126921054826
252.75270829266765,401.6040281299148
257.94778922327623,401.0011327721377
260.48707302779104,399.32009209768285
257.19454617677934,397.95356906542673
251.55303384563805,397.85497801498457
246.3938043502774,397.14935745640236
240.9834987491855,396.9009838069809
235.21372549019605,396.9
229.44117647058823,396.9
223.6686274509804,396.9
217.897358092094,396.89650924660594
212.3881792347229,396.514872033033
207.6591706830929,395.6324224434466
203.4142826828567,395.7041522483315
198.55154192911792,395.48339147899014
194.030352416328,395.7752366778549
189.4938925462832,395.4817586102774
184.47874367260113,395.8826546958175
178.7335933262304,395.86210431826476
173.55054777241222,395.1716988454218
168.17422265263636,394.891065521511
163.93855734803577,394.10604907690646
166.7665332937295,392.6290641462655
171.68751130679206,391.79033241909264
175.49155156348422,390.08008620015886
176.74989691996464,386.4734266819292
176.12342744814362,381.5628891578142
175.0353838181035,377.1590103572668
172.30907597570538,374.16513439523794
170.65972879670196,370.315482952768
172.53556870013935,366.5810971555767
174.26018512114655,362.63358411275993
175.21385911362194,357.93407231787023
175.60755178080828,353.5241894873559
175.5529401043069,348.8591857099851
174.7910732417941,345.07580319443906
173.79538916467433,340.25200794455714
172.6242961175634,335.7232530527707
171.03615573218354,331.5219317609588
170.36040061740204,326.59571693610724
171.74560851923087,322.1328447521478
173.51823391684306,318.13443766449154
174.01345941788992,313.3127637670899
172.45255459139702,309.4239510534279
169.54209063403385,306.63293996168403
166.1416312130525,304.31062216383503
162.20481546244358,302.57427049028524
157.95501114436038,301.02186635996054
153.78549644277524,299.46436069892786
149.23248700803254,298.2709572104751
144.6633556510188,297.04006533104183
140.31604849402723,295.60560420774766
135.99457971967283,294.1444181535972
132.07837998591185,292.1838941344897
